Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Switzerland,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Italy,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = France,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Sweden,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = Brazil,Continent = SA,HDI = Low,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = France,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = France,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Turkey,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Ukraine,Continent = EU,HDI = Low,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Netherlands,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Poland,Continent = EU,HDI = Medium,GDP = Low,GINI = Medium
